"","survey_id","site","species","n","range","time","minutes","seconds","days.x","...10","...11","fid","id","weather","start_time","habitat","dom_veg","patch_id","elevation","days.y","sector","start_time_padded","start_time.dec","pres","days"
"216","Tearnaitwest_18","Tearnaitwest_18","willow_warbler",1,NA,11.0833333333333,11,5,24,NA,NA,86,NA,"Drizzle, cloudy, breeze",1415,"3","Birch  oak, ling, rowan, molinia, willow",NA,224,NA,"Tearnait","1415",14.25,1,24
"217","Tearnaitwest_5","Tearnaitwest_5","skylark",1,NA,19.0166666666667,19,1,24,NA,NA,84,NA,"Cloudy  br3ezy, warm",1248,"2","Molinia, ling, bracken, bluebell, rowan, birch",NA,271,NA,"Tearnait","1248",12.8,1,24
"218","Tearnaitwest_5","Tearnaitwest_5","skylark",1,29.6,8.25,8,15,24,NA,NA,84,NA,"Cloudy  br3ezy, warm",1248,"2","Molinia, ling, bracken, bluebell, rowan, birch",NA,271,NA,"Tearnait","1248",12.8,1,24
"219","Tearnaitwest_5","Tearnaitwest_5","meadow_pipit",1,12.6,0.933333333333333,0,56,24,NA,NA,84,NA,"Cloudy  br3ezy, warm",1248,"2","Molinia, ling, bracken, bluebell, rowan, birch",NA,271,NA,"Tearnait","1248",12.8,1,24
"220","Woodland_11","Woodland_11","blue_tit",1,39.8,10,10,0,3,NA,NA,12,NA,"Patchy clouds, chilly, gusty",810,"5","Ash birch oak",NA,NA,NA,"Rahoy","0810",8.16666666666667,1,3
"222","Woodland_11","Woodland_11","blue_tit",2,37.8,13,13,0,3,NA,NA,12,NA,"Patchy clouds, chilly, gusty",810,"5","Ash birch oak",NA,NA,NA,"Rahoy","0810",8.16666666666667,1,3
"223","Woodland_11","Woodland_11","chaffinch",1,39.8,10,10,0,3,NA,NA,12,NA,"Patchy clouds, chilly, gusty",810,"5","Ash birch oak",NA,NA,NA,"Rahoy","0810",8.16666666666667,1,3
"224","Woodland_11","Woodland_11","blue_tit",1,35.5,8,8,0,3,NA,NA,12,NA,"Patchy clouds, chilly, gusty",810,"5","Ash birch oak",NA,NA,NA,"Rahoy","0810",8.16666666666667,1,3
"225","Woodland_14","Woodland_14","chaffinch",1,23.3,16,16,0,1,NA,NA,4,2,"Breezy, sunny",630,"5","Oak",NA,NA,NA,"Claggan","0630",6.5,1,1
"226","Woodland_2","Woodland_2","buzzard",1,75.7,23,23,0,3,NA,NA,11,NA,"Cloudy, sun",645,"5","Oak , irch, alfer",NA,NA,NA,"Rahoy","0645",6.75,1,3
"227","Woodland_2","Woodland_2","redpoll",1,71.1,11,11,0,3,NA,NA,11,NA,"Cloudy, sun",645,"5","Oak , irch, alfer",NA,NA,NA,"Rahoy","0645",6.75,1,3
"230","Woodland_22","Woodland_22","wood_pigeon",1,36.2,2,2,0,4,NA,NA,18,NA,"Dry, sun, windy",1300,"5","Oak, vlue bell, feayher moss, molinia",NA,NA,NA,"Claggan","1300",13,1,4
"231","Woodland_22","Woodland_22","wood_pigeon",1,18.3,17,17,0,4,NA,NA,18,NA,"Dry, sun, windy",1300,"5","Oak, vlue bell, feayher moss, molinia",NA,NA,NA,"Claggan","1300",13,1,4
"232","Woodland_22","Woodland_22","wood_pigeon",1,28,12,12,0,4,NA,NA,18,NA,"Dry, sun, windy",1300,"5","Oak, vlue bell, feayher moss, molinia",NA,NA,NA,"Claggan","1300",13,1,4
"234","Woodland_22","Woodland_22","siskin",2,19.2,21,21,0,4,NA,NA,18,NA,"Dry, sun, windy",1300,"5","Oak, vlue bell, feayher moss, molinia",NA,NA,NA,"Claggan","1300",13,1,4
"235","Woodland_40","Woodland_40","great_spotted_woodpecker",1,38.6,22.5666666666667,22,34,16,NA,NA,56,NA,"Hot, clear, breeze",1643,"5","Oak, bracken, ",NA,49,NA,"Rahoy","1643",16.7166666666667,1,16
"236","Woodland_40","Woodland_40","robin",1,16.5,27.9333333333333,27,56,16,NA,NA,56,NA,"Hot, clear, breeze",1643,"5","Oak, bracken, ",NA,49,NA,"Rahoy","1643",16.7166666666667,1,16
"237","Woodland_40","Woodland_40","siskin",1,NA,11.1666666666667,11,10,16,NA,NA,56,NA,"Hot, clear, breeze",1643,"5","Oak, bracken, ",NA,49,NA,"Rahoy","1643",16.7166666666667,1,16
"238","Woodland_40","Woodland_40","great_spotted_woodpecker",1,19.7,15.4333333333333,15,26,16,NA,NA,56,NA,"Hot, clear, breeze",1643,"5","Oak, bracken, ",NA,49,NA,"Rahoy","1643",16.7166666666667,1,16
"239","Woodland_40","Woodland_40","tree_pipit",1,57.7,2.98333333333333,2,59,16,NA,NA,56,NA,"Hot, clear, breeze",1643,"5","Oak, bracken, ",NA,49,NA,"Rahoy","1643",16.7166666666667,1,16
"240","Woodland_49","Woodland_49","common_redstart",1,27.8,2.21666666666667,2,13,7,NA,NA,25,NA,"Misty, cold, dewy",1621,"5","Oak, bracken, bkuebell",NA,NA,NA,"Rahoy","1621",16.35,1,7
"242","Woodland_54","Woodland_54","white_throat",1,13.1,22,22,0,1,NA,NA,24,NA,"Sun, light breeze",1955,"5","Oak, scots pine, blue bell, feather koss",NA,NA,NA,"Rahoy","1955",19.9166666666667,1,1
"243","Woodland_54","Woodland_54","dunnock",1,26.6,22,22,0,1,NA,NA,24,NA,"Sun, light breeze",1955,"5","Oak, scots pine, blue bell, feather koss",NA,NA,NA,"Rahoy","1955",19.9166666666667,1,1
"244","Woodland_54","Woodland_54","eurasian_jay",1,52.1,29,29,0,1,NA,NA,24,NA,"Sun, light breeze",1955,"5","Oak, scots pine, blue bell, feather koss",NA,NA,NA,"Rahoy","1955",19.9166666666667,1,1
"245","Woodland_54","Woodland_54","chaffinch",1,18.9,8,8,0,1,NA,NA,24,NA,"Sun, light breeze",1955,"5","Oak, scots pine, blue bell, feather koss",NA,NA,NA,"Rahoy","1955",19.9166666666667,1,1
"246","Woodland_54","Woodland_54","robin",1,19.6,19,19,0,1,NA,NA,24,NA,"Sun, light breeze",1955,"5","Oak, scots pine, blue bell, feather koss",NA,NA,NA,"Rahoy","1955",19.9166666666667,1,1
